Class,'handicapped infants','water project cost sharing','adoption of the budget resolution','physician fee freeze','el salvador aid','religious groups in schools','anti satellite test ban','aid to nicaraguan contras','mx missile',' immigration','synfuels corporation cutback','education spending','superfund right to sue',crime,' duty free exports','export administration act south africa'
republican,n,y,n,y,y,y,n,n,n,y,Unknown,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,Unknown
democrat,Unknown,y,y,Unknown,y,y,n,n,n,n,y,n,y,y,n,n
democrat,n,y,y,n,Unknown,y,n,n,n,n,y,n,y,n,n,y
democrat,y,y,y,n,y,y,n,n,n,n,y,Unknown,y,y,y,y
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
democrat,n,y,n,y,y,y,n,n,n,n,n,n,Unknown,y,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,Unknown,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,Unknown,Unknown
republican,n,y,n,y,y,n,n,n,n,n,Unknown,Unknown,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,n,y,Unknown,y,y,Unknown,Unknown
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,Unknown,Unknown
democrat,y,y,y,n,n,y,y,y,Unknown,y,y,Unknown,n,n,y,Unknown
republican,n,y,n,y,y,y,n,n,n,n,n,y,Unknown,Unknown,n,Unknown
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,Unknown,n,Unknown
democrat,y,n,y,n,n,y,n,y,Unknown,y,y,y,Unknown,n,n,y
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,Unknown,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,Unknown,y,y,n,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,Unknown,Unknown,y,y
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,Unknown,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,Unknown
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,y,Unknown,n,y,y,y,n,n,n,y,n,y,Unknown,y,n,y
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
